Net Asset Value,Repurchase Price,Sale Price,NAV date
16.32,,,13-Dec-2019
16.31,,,16-Dec-2019
16.45,,,17-Dec-2019
16.45,,,18-Dec-2019
16.49,,,19-Dec-2019
16.48,,,20-Dec-2019
16.48,,,23-Dec-2019
16.48,,,24-Dec-2019
16.39,,,26-Dec-2019
16.54,,,27-Dec-2019
16.58,,,30-Dec-2019
16.59,,,31-Dec-2019
16.61,,,01-Jan-2020
16.85,,,02-Jan-2020
16.86,,,03-Jan-2020
16.55,,,06-Jan-2020
16.58,,,07-Jan-2020
16.49,,,08-Jan-2020
16.68,,,09-Jan-2020
16.79,,,10-Jan-2020
16.94,,,13-Jan-2020
17.11,,,14-Jan-2020
17.24,,,15-Jan-2020
17.18,,,16-Jan-2020
17.12,,,17-Jan-2020
16.98,,,20-Jan-2020
16.97,,,21-Jan-2020
16.83,,,22-Jan-2020
16.96,,,23-Jan-2020
17,,,24-Jan-2020
16.9,,,27-Jan-2020
16.83,,,28-Jan-2020
16.95,,,29-Jan-2020
16.75,,,30-Jan-2020
16.59,,,31-Jan-2020
16.08,,,03-Feb-2020
16.37,,,04-Feb-2020
16.51,,,05-Feb-2020
16.64,,,06-Feb-2020
16.73,,,07-Feb-2020
16.47,,,10-Feb-2020
16.46,,,11-Feb-2020
16.36,,,12-Feb-2020
16.33,,,13-Feb-2020
16.2,,,14-Feb-2020
16,,,17-Feb-2020
15.92,,,18-Feb-2020
16.09,,,19-Feb-2020
16.07,,,20-Feb-2020
15.84,,,24-Feb-2020
15.74,,,25-Feb-2020
15.6,,,26-Feb-2020
15.46,,,27-Feb-2020
14.98,,,28-Feb-2020
14.8,,,02-Mar-2020
15.06,,,03-Mar-2020
14.96,,,04-Mar-2020
14.99,,,05-Mar-2020
14.62,,,06-Mar-2020
14.11,,,09-Mar-2020
13.99,,,11-Mar-2020
12.75,,,12-Mar-2020
13.07,,,13-Mar-2020
12.33,,,16-Mar-2020
12.19,,,17-Mar-2020
11.75,,,18-Mar-2020
11.52,,,19-Mar-2020
12,,,20-Mar-2020
10.76,,,23-Mar-2020
10.9,,,24-Mar-2020
11.05,,,25-Mar-2020
11.43,,,26-Mar-2020
11.57,,,27-Mar-2020
11.4,,,30-Mar-2020
11.99,,,31-Mar-2020
11.6,,,01-Apr-2020
11.6,,,01-Apr-2020
11.53,,,03-Apr-2020
11.53,,,03-Apr-2020
11.97,,,07-Apr-2020
11.97,,,07-Apr-2020
12.07,,,08-Apr-2020
12.07,,,08-Apr-2020
12.29,,,09-Apr-2020
12.29,,,09-Apr-2020
12.29,,,13-Apr-2020
12.29,,,13-Apr-2020
12.44,,,15-Apr-2020
12.44,,,15-Apr-2020
12.53,,,16-Apr-2020
12.53,,,16-Apr-2020
12.74,,,17-Apr-2020
12.74,,,17-Apr-2020
12.88,,,20-Apr-2020
12.88,,,20-Apr-2020
12.57,,,21-Apr-2020
12.57,,,21-Apr-2020
12.63,,,22-Apr-2020
12.63,,,22-Apr-2020
12.75,,,23-Apr-2020
12.75,,,23-Apr-2020
12.5,,,24-Apr-2020
12.5,,,24-Apr-2020
12.55,,,27-Apr-2020
12.55,,,27-Apr-2020
12.54,,,28-Apr-2020
12.54,,,28-Apr-2020
12.68,,,29-Apr-2020
12.68,,,29-Apr-2020
12.99,,,30-Apr-2020
12.99,,,30-Apr-2020
12.5,,,04-May-2020
12.5,,,04-May-2020
12.46,,,05-May-2020
12.46,,,05-May-2020
12.41,,,06-May-2020
12.41,,,06-May-2020
12.32,,,07-May-2020
12.32,,,07-May-2020
12.32,,,08-May-2020
12.32,,,08-May-2020
12.31,,,11-May-2020
12.31,,,11-May-2020
12.37,,,12-May-2020
12.37,,,12-May-2020
12.53,,,13-May-2020
12.53,,,13-May-2020
12.3,,,14-May-2020
12.3,,,14-May-2020
12.34,,,15-May-2020
12.34,,,15-May-2020
12.09,,,18-May-2020
12.09,,,18-May-2020
12.25,,,19-May-2020
12.25,,,19-May-2020
12.45,,,20-May-2020
12.45,,,20-May-2020
12.59,,,21-May-2020
12.59,,,21-May-2020
12.68,,,22-May-2020
12.68,,,22-May-2020
12.69,,,26-May-2020
12.69,,,26-May-2020
12.84,,,27-May-2020
12.84,,,27-May-2020
12.92,,,28-May-2020
12.92,,,28-May-2020
13.1,,,29-May-2020
13.1,,,29-May-2020
13.32,,,01-Jun-2020
13.32,,,01-Jun-2020
13.42,,,02-Jun-2020
13.42,,,02-Jun-2020
13.46,,,03-Jun-2020
13.46,,,03-Jun-2020
13.55,,,04-Jun-2020
13.55,,,04-Jun-2020
13.73,,,05-Jun-2020
13.73,,,05-Jun-2020
13.95,,,08-Jun-2020
13.95,,,08-Jun-2020
13.85,,,09-Jun-2020
13.85,,,09-Jun-2020
13.94,,,10-Jun-2020
13.94,,,10-Jun-2020
13.8,,,11-Jun-2020
13.8,,,11-Jun-2020
13.82,,,12-Jun-2020
13.82,,,12-Jun-2020
13.69,,,15-Jun-2020
13.69,,,15-Jun-2020
13.67,,,16-Jun-2020
13.67,,,16-Jun-2020
13.63,,,17-Jun-2020
13.63,,,17-Jun-2020
13.82,,,18-Jun-2020
13.82,,,18-Jun-2020
13.86,,,19-Jun-2020
13.86,,,19-Jun-2020
14.02,,,22-Jun-2020
14.02,,,22-Jun-2020
14.34,,,23-Jun-2020
14.34,,,23-Jun-2020
14.17,,,24-Jun-2020
14.17,,,24-Jun-2020
14.2,,,25-Jun-2020
14.2,,,25-Jun-2020
14.41,,,26-Jun-2020
14.17,,,29-Jun-2020
14.15,,,30-Jun-2020
14.24,,,01-Jul-2020
14.47,,,02-Jul-2020
14.55,,,03-Jul-2020
14.71,,,06-Jul-2020
14.74,,,07-Jul-2020
14.68,,,08-Jul-2020
14.77,,,09-Jul-2020
