,NAV,date
312,16.55,06-Jan-2020
313,16.58,07-Jan-2020
314,16.49,08-Jan-2020
315,16.68,09-Jan-2020
316,16.79,10-Jan-2020
317,16.94,13-Jan-2020
318,17.11,14-Jan-2020
319,17.24,15-Jan-2020
320,17.18,16-Jan-2020
321,17.12,17-Jan-2020
322,16.98,20-Jan-2020
323,16.97,21-Jan-2020
324,16.83,22-Jan-2020
325,16.96,23-Jan-2020
326,17.0,24-Jan-2020
327,16.9,27-Jan-2020
328,16.83,28-Jan-2020
329,16.95,29-Jan-2020
330,16.75,30-Jan-2020
331,16.59,31-Jan-2020
332,16.08,03-Feb-2020
333,16.37,04-Feb-2020
334,16.51,05-Feb-2020
335,16.64,06-Feb-2020
336,16.73,07-Feb-2020
337,16.47,10-Feb-2020
338,16.46,11-Feb-2020
339,16.36,12-Feb-2020
340,16.33,13-Feb-2020
341,16.2,14-Feb-2020
342,16.0,17-Feb-2020
343,15.92,18-Feb-2020
344,16.09,19-Feb-2020
345,16.07,20-Feb-2020
346,15.84,24-Feb-2020
347,15.74,25-Feb-2020
348,15.6,26-Feb-2020
349,15.46,27-Feb-2020
350,14.98,28-Feb-2020
351,14.8,02-Mar-2020
352,15.06,03-Mar-2020
353,14.96,04-Mar-2020
354,14.99,05-Mar-2020
355,14.62,06-Mar-2020
356,14.11,09-Mar-2020
357,13.99,11-Mar-2020
358,12.75,12-Mar-2020
359,13.07,13-Mar-2020
360,12.33,16-Mar-2020
361,12.19,17-Mar-2020
362,11.75,18-Mar-2020
363,11.52,19-Mar-2020
364,12.0,20-Mar-2020
365,10.76,23-Mar-2020
366,10.9,24-Mar-2020
367,11.05,25-Mar-2020
368,11.43,26-Mar-2020
369,11.57,27-Mar-2020
370,11.4,30-Mar-2020
371,11.99,31-Mar-2020
372,11.6,01-Apr-2020
373,11.6,01-Apr-2020
374,11.53,03-Apr-2020
375,11.53,03-Apr-2020
376,11.97,07-Apr-2020
377,11.97,07-Apr-2020
378,12.07,08-Apr-2020
379,12.07,08-Apr-2020
380,12.29,09-Apr-2020
381,12.29,09-Apr-2020
382,12.29,13-Apr-2020
383,12.29,13-Apr-2020
384,12.44,15-Apr-2020
385,12.44,15-Apr-2020
386,12.53,16-Apr-2020
387,12.53,16-Apr-2020
388,12.74,17-Apr-2020
389,12.74,17-Apr-2020
390,12.88,20-Apr-2020
391,12.88,20-Apr-2020
392,12.57,21-Apr-2020
393,12.57,21-Apr-2020
394,12.63,22-Apr-2020
395,12.63,22-Apr-2020
